Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: WGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
4:20 p.m. to 4:24 p.m.,479,810,679,0,1420,433,1037,924,671
4:25 p.m. to 4:29 p.m.,444,682,1266,,0,444,,1036,541
4:30 p.m. to 4:34 p.m.,470,868,718,3167,0,736,1840,972,817
4:35 p.m. to 4:39 p.m.,432,623,748,0,1060,700,703,741,775
4:40 p.m. to 4:44 p.m.,501,683,548,1562,0,361,0,851,674
4:45 p.m. to 4:49 p.m.,542,757,631,,967,528,1714,793,606
4:50 p.m. to 4:54 p.m.,496,542,38,,2867,583,1044,724,583
4:55 p.m. to 4:59 p.m.,521,603,684,1134,0,731,2796,1002,586
5:00 p.m. to 5:04 p.m.,481,814,683,0,1011,599,0,812,671
5:05 p.m. to 5:09 p.m.,456,822,477,554,0,326,0,646,745
5:10 p.m. to 5:14 p.m.,519,601,832,,0,548,0,758,733
5:15 p.m. to 5:19 p.m.,498,666,337,,1602,782,265,859,614
5:20 p.m. to 5:24 p.m.,427,695,495,,0,488,556,906,668
5:25 p.m. to 5:29 p.m.,470,792,816,,341,683,0,700,663
5:30 p.m. to 5:34 p.m.,420,676,538,,0,729,3626,958,613
5:35 p.m. to 5:39 p.m.,478,725,978,,0,700,0,659,681
5:40 p.m. to 5:44 p.m.,393,759,6,,,527,0,1121,683
5:45 p.m. to 5:49 p.m.,394,666,526,,0,534,0,868,507
5:50 p.m. to 5:54 p.m.,497,769,941,,,590,269,847,623
5:55 p.m. to 5:59 p.m.,415,598,826,,0,493,930,701,601
6:00 p.m. to 6:04 p.m.,477,702,650,,0,558,1113,970,803
6:05 p.m. to 6:09 p.m.,477,725,729,,390,849,,633,555
6:10 p.m. to 6:14 p.m.,491,623,86,764,0,501,2004,840,707
6:15 p.m. to 6:19 p.m.,464,713,757,,0,619,0,595,647
6:20 p.m. to 6:24 p.m.,464,639,1063,1680,0,349,,696,698
6:25 p.m. to 6:29 p.m.,495,714,410,,,525,770,1307,581
6:30 p.m. to 6:34 p.m.,427,742,374,0,,463,0,859,631
6:35 p.m. to 6:39 p.m.,439,791,279,,,525,958,472,372
6:40 p.m. to 6:44 p.m.,485,701,635,,2711,430,1114,1103,634
6:45 p.m. to 6:49 p.m.,474,736,690,,1535,772,1855,820,682
6:50 p.m. to 6:54 p.m.,489,515,405,0,0,397,0,829,555
6:55 p.m. to 6:59 p.m.,320,677,548,,,446,505,804,971
7:00 p.m. to 7:04 p.m.,395,900,329,0,1000,614,0,832,819
7:05 p.m. to 7:09 p.m.,568,600,740,,,732,,610,614
7:10 p.m. to 7:14 p.m.,563,756,503,,,337,2419,748,579
7:15 p.m. to 7:19 p.m.,454,833,898,,690,472,2095,960,617
7:20 p.m. to 7:24 p.m.,459,667,158,,0,547,0,706,845
7:25 p.m. to 7:29 p.m.,529,669,0,,,227,0,372,265
7:30 p.m. to 7:34 p.m.,383,792,415,560,0,297,1540,673,688
7:35 p.m. to 7:39 p.m.,460,820,798,,649,162,0,1502,923
7:40 p.m. to 7:44 p.m.,495,888,1240,,561,365,604,1220,768
7:45 p.m. to 7:49 p.m.,430,468,816,0,1950,553,0,1007,897
7:50 p.m. to 7:54 p.m.,428,590,741,,,561,,1101,935
7:55 p.m. to 7:59 p.m.,426,705,143,,,614,1392,671,230
8:00 p.m. to 8:04 p.m.,399,757,362,,2000,472,,1011,869
8:05 p.m. to 8:09 p.m.,493,620,0,,,364,1180,293,953
8:10 p.m. to 8:14 p.m.,408,1100,1219,,,328,1802,710,664
8:15 p.m. to 8:19 p.m.,411,858,800,,,315,1064,793,1013
8:20 p.m. to 8:24 p.m.,392,854,0,,,815,,1146,498
8:25 p.m. to 8:29 p.m.,418,745,1543,,,347,,405,1029
8:30 p.m. to 8:34 p.m.,571,922,1686,,1056,783,,993,825
8:35 p.m. to 8:39 p.m.,345,989,650,,,269,,1055,1220
8:40 p.m. to 8:44 p.m.,404,885,415,,0,595,0,1498,598
8:45 p.m. to 8:49 p.m.,428,721,247,,,540,1413,982,1069
8:50 p.m. to 8:54 p.m.,488,799,802,,,1069,,983,593
8:55 p.m. to 8:59 p.m.,338,1197,70,,,389,,306,522
9:00 p.m. to 9:04 p.m.,514,915,486,0,0,620,,852,511
9:05 p.m. to 9:09 p.m.,371,1255,1065,,,676,,554,1143
9:10 p.m. to 9:14 p.m.,545,846,905,,0,319,2103,907,1031
9:15 p.m. to 9:19 p.m.,386,773,657,,,501,270,576,628
9:20 p.m. to 9:24 p.m.,593,733,836,1400,,380,1361,931,591
9:25 p.m. to 9:29 p.m.,402,717,116,,,655,0,691,605
9:30 p.m. to 9:34 p.m.,413,643,276,0,890,1041,1343,1115,516
9:35 p.m. to 9:39 p.m.,431,875,712,,,725,1001,1067,579
9:40 p.m. to 9:44 p.m.,442,869,457,,0,492,1457,570,784
9:45 p.m. to 9:49 p.m.,437,890,596,,0,908,1490,833,667
