Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: PWGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
2:35 p.m. to 2:39 p.m.,37827,33940,28744,26000,34600,35941,31632,30694,36676
2:40 p.m. to 2:44 p.m.,37384,30564,39251,23000,75646,54093,50062,34682,29917
2:45 p.m. to 2:49 p.m.,37832,33622,32993,,29959,46970,32134,34174,38854
2:50 p.m. to 2:54 p.m.,36802,36948,34091,,,45402,20172,32900,32618
2:55 p.m. to 2:59 p.m.,32748,41327,33555,,24000,44940,38556,37311,27474
3:00 p.m. to 3:04 p.m.,35742,35298,28161,18525,31616,38799,32859,32868,32515
3:05 p.m. to 3:09 p.m.,26300,31015,26790,64274,41471,30810,23033,25093,26844
3:10 p.m. to 3:14 p.m.,28462,31077,30632,30500,16380,34006,34638,28346,28742
3:15 p.m. to 3:19 p.m.,31124,32412,26949,48000,21189,38163,31917,31898,29381
3:20 p.m. to 3:24 p.m.,34908,29481,27898,,36721,42993,39489,29658,29145
3:25 p.m. to 3:29 p.m.,35029,34940,17149,,12722,37129,,32988,33712
3:30 p.m. to 3:34 p.m.,35912,36115,34219,,0,40145,28678,37400,36846
3:35 p.m. to 3:39 p.m.,27232,38042,24098,3000,33200,43768,368979,30149,24621
3:40 p.m. to 3:44 p.m.,30479,32031,32915,22000,48780,35188,36000,29237,29278
3:45 p.m. to 3:49 p.m.,30182,31259,24411,23000,17663,47724,28264,27897,26360
3:50 p.m. to 3:54 p.m.,27969,30419,17320,,35806,34092,20888,28746,29401
3:55 p.m. to 3:59 p.m.,26570,24557,16300,59069,5000,26755,34018,30157,26987
