Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: WGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
6:55 p.m. to 6:59 p.m.,40,41,29,,,44,49,37,33
7:00 p.m. to 7:04 p.m.,41,39,38,49,47,42,37,35,35
7:05 p.m. to 7:09 p.m.,38,36,30,,,43,,37,38
7:10 p.m. to 7:14 p.m.,38,37,41,,,47,44,36,39
7:15 p.m. to 7:19 p.m.,41,39,33,,37,42,38,34,39
7:20 p.m. to 7:24 p.m.,39,39,34,,28,41,58,41,42
7:25 p.m. to 7:29 p.m.,42,44,50,,,48,31,38,32
7:30 p.m. to 7:34 p.m.,42,40,54,25,57,40,51,39,37
7:35 p.m. to 7:39 p.m.,40,38,43,,52,44,71,39,37
7:40 p.m. to 7:44 p.m.,40,42,33,,63,44,35,34,37
7:45 p.m. to 7:49 p.m.,41,44,42,50,38,42,47,37,38
7:50 p.m. to 7:54 p.m.,41,42,34,,,42,,35,35
7:55 p.m. to 7:59 p.m.,43,43,36,,,48,47,34,45
8:00 p.m. to 8:04 p.m.,42,40,46,,43,40,,40,38
8:05 p.m. to 8:09 p.m.,38,34,53,,,43,25,31,33
8:10 p.m. to 8:14 p.m.,42,39,33,,,42,38,34,35
8:15 p.m. to 8:19 p.m.,44,42,24,,,47,38,37,36
8:20 p.m. to 8:24 p.m.,41,41,51,,,43,,40,38
8:25 p.m. to 8:29 p.m.,42,47,35,,,42,,33,37
8:30 p.m. to 8:34 p.m.,42,43,32,,30,38,,38,39
8:35 p.m. to 8:39 p.m.,42,36,32,,,43,,40,40
8:40 p.m. to 8:44 p.m.,41,41,30,,41,41,53,39,40
8:45 p.m. to 8:49 p.m.,42,42,47,,,40,41,34,38
8:50 p.m. to 8:54 p.m.,37,41,42,,,37,,37,40
8:55 p.m. to 8:59 p.m.,40,34,53,,,47,,37,38
9:00 p.m. to 9:04 p.m.,40,39,41,32,57,45,,41,41
9:05 p.m. to 9:09 p.m.,40,35,34,,,45,,43,32
9:10 p.m. to 9:14 p.m.,42,42,31,,36,42,32,46,33
9:15 p.m. to 9:19 p.m.,43,37,28,,,43,44,34,40
9:20 p.m. to 9:24 p.m.,41,43,32,18,,43,26,41,36
9:25 p.m. to 9:29 p.m.,42,44,40,,,35,54,36,35
